# generated 2026-07-30
# dumps: https://dumps.wikimedia.org/backup-index-bydb.html
# names: https://meta.wikimedia.org/w/api.php?action=sitematrix&format=json&formatversion=2
# dbname	language	status
nds_nlwiki	Low Saxon	open
ndswiki	Low German	open
newiki	Nepali	open
newwiki	Newari	open
ngwiki	Ndonga	closed
niawiki	Nias	open
nlwiki	Dutch	open
nnwiki	Norwegian Nynorsk	open
novwiki	Novial	open
nowiki	Norwegian	open
nqowiki	N’Ko	open
nrmwiki	Norman	open
nrwiki	South Ndebele	open
nsowiki	Northern Sotho	open
nupwiki	Nupe	open
nvwiki	Navajo	open
nywiki	Nyanja	open
ocwiki	Occitan	open
olowiki	Livvi-Karelian	open
omwiki	Oromo	open
orwiki	Odia	open
oswiki	Ossetic	open
pagwiki	Pangasinan	open
pamwiki	Pampanga	open
papwiki	Papiamento	open
pawiki	Punjabi	open
pcdwiki	Picard	open
pcmwiki	Nigerian Pidgin	open
pdcwiki	Pennsylvania German	open
pflwiki	Palatine German	open
pihwiki	Pitcairn-Norfolk	closed
piwiki	Pali	open
plwiki	Polish	open
pmswiki	Piedmontese	open
pnbwiki	Western Punjabi	open
pntwiki	Pontic	open
pplwiki	Nawat	open
pswiki	Pashto	open
ptwiki	Portuguese	open
pwnwiki	Paiwan	open
quwiki	Quechua	open
rkiwiki	Arakanese	open
rmwiki	Romansh	open
rmywiki	Vlax Romani	open
rnwiki	Rundi	open
roa_rupwiki	Aromanian	open
roa_tarawiki	Tarantino	open
rowiki	Romanian	open
rskwiki	Pannonian Rusyn	open
ruewiki	Rusyn	open
ruwiki	Russian	open
rwwiki	Kinyarwanda	open
sahwiki	Yakut	open
satwiki	Santali	open
sawiki	Sanskrit	open
scnwiki	Sicilian	open
scowiki	Scots	open
scwiki	Sardinian	open
sdwiki	Sindhi	open
sewiki	Northern Sami	open
sgwiki	Sango	open
shiwiki	Tachelhit	open
shnwiki	Shan	open
shwiki	Serbo-Croatian	open
simplewiki	Simple English	open
siwiki	Sinhala	open
skrwiki	Saraiki	open
skwiki	Slovak	open
slwiki	Slovenian	open
smnwiki	Inari Sami	open
smwiki	Samoan	open
snwiki	Shona	open
sowiki	Somali	open
sqwiki	Albanian	open
srnwiki	Sranan Tongo	open
srwiki	Serbian	open
sswiki	Swati	open
stqwiki	Saterland Frisian	open
stwiki	Southern Sotho	open
suwiki	Sundanese	open
svwiki	Swedish	open
swwiki	Swahili	open
sylwiki	Sylheti	open
szlwiki	Silesian	open
szywiki	Sakizaya	open
tawiki	Tamil	open
taywiki	Atayal	open
tcywiki	Tulu	open
tddwiki	Tai Nuea	open
tetwiki	Tetum	open
tewiki	Telugu	open
tgwiki	Tajik	open
thwiki	Thai	open
tigwiki	Tigre	open
tiwiki	Tigrinya	open
tkwiki	Turkmen	open
tlwiki	Tagalog	open
tlywiki	Talysh	open
tnwiki	Tswana	open
tokwiki	Toki Pona	open
towiki	Tongan	open
tpiwiki	Tok Pisin	open
trvwiki	Taroko	open
trwiki	Turkish	open
tswiki	Tsonga	open
ttwiki	Tatar	open
tumwiki	Tumbuka	open
twwiki	Twi	open
tyvwiki	Tuvinian	open
tywiki	Tahitian	open
udmwiki	Udmurt	open
ugwiki	Uyghur	open
ukwiki	Ukrainian	open
urwiki	Urdu	open
uzwiki	Uzbek	open
vecwiki	Venetian	open
vepwiki	Veps	open
vewiki	Venda	open
viwiki	Vietnamese	open
vlswiki	West Flemish	open
vowiki	Volapük	open
warwiki	Waray	open
wawiki	Walloon	open
wowiki	Wolof	open
wuuwiki	Wu	open
xalwiki	Kalmyk	open
xhwiki	Xhosa	open
xmfwiki	Mingrelian	open
yiwiki	Yiddish	open
yowiki	Yoruba	open
zawiki	Zhuang	open
zeawiki	Zeelandic	open
zghwiki	Standard Moroccan Tamazight	open
zh_classicalwiki	Literary Chinese	open
zh_min_nanwiki	Minnan	open
zh_yuewiki	Cantonese	open
zhwiki	Chinese	open
zuwiki	Zulu	open
